 ,KeJi,ShiShang,TiYu,CaiJing,JiaoYu,CaiPiao,FangChan,ShiZheng,SheHui,GuPiao,XingZuo,YuLe,JiaJu,YouXi
KeJi,1749,0,7,4,6,1,3,16,26,52,0,11,9,12
ShiShang,2,170,0,0,1,0,0,1,0,0,1,7,5,0
TiYu,5,2,1608,0,1,2,1,5,1,1,0,17,0,1
CaiJing,4,0,0,326,1,1,2,1,2,61,0,1,0,0
JiaoYu,7,1,0,0,398,0,1,5,13,2,1,5,4,2
CaiPiao,0,0,7,0,1,72,0,0,0,2,0,0,0,0
FangChan,3,0,1,4,1,0,210,3,9,13,0,1,5,0
ShiZheng,24,2,6,0,10,0,2,685,6,23,0,7,3,0
SheHui,19,1,3,4,8,5,1,18,492,2,0,12,3,0
GuPiao,40,0,1,25,0,1,7,25,2,1807,0,2,2,1
XingZuo,0,1,0,0,0,0,0,0,0,0,35,0,0,0
YuLe,12,0,7,1,4,0,0,9,9,5,0,1086,1,5
JiaJu,5,0,0,1,1,0,6,6,1,5,0,3,344,2
YouXi,31,2,2,0,0,0,0,0,1,2,3,1,3,260
