 ,KeJi,ShiShang,TiYu,CaiJing,JiaoYu,CaiPiao,FangChan,ShiZheng,SheHui,GuPiao,XingZuo,YuLe,JiaJu,YouXi
KeJi,22,0,0,0,0,0,0,1,1,0,0,0,0,0
ShiShang,0,2,0,0,0,0,0,0,0,0,0,0,0,0
TiYu,0,0,12,0,0,0,0,0,0,0,0,0,0,0
CaiJing,0,0,0,7,0,0,0,0,0,0,0,0,0,0
JiaoYu,1,0,0,0,9,0,0,1,0,0,0,0,0,0
CaiPiao,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FangChan,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ShiZheng,0,0,0,0,0,0,0,6,0,0,0,0,0,0
SheHui,0,0,0,0,0,0,0,1,3,0,0,0,0,0
GuPiao,1,0,0,0,0,0,0,0,0,12,0,0,0,0
XingZuo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YuLe,0,0,0,0,0,0,0,0,0,0,0,10,0,0
JiaJu,0,0,0,0,0,0,0,0,0,0,0,0,4,1
YouXi,1,0,0,0,0,0,0,0,0,0,0,0,0,3
